prolific_id,sub_62,
,,
,Column Labels,
,1,
Row Labels,Sum of chosen_ref_value,Sum of query_item
dense_left,,
post_exposure,,
1,,
2,54,38
3,78,70
4,110,102
5,86,70
6,110,94
7,70,54
8,86,70
9,62,54
10,94,70
11,62,46
12,78,70
13,110,94
14,86,70
16,110,86
17,86,70
18,110,86
20,110,94
23,110,86
26,86,70
2,,
1,110,86
2,110,102
3,94,70
5,78,70
6,54,46
7,78,70
10,110,102
11,110,94
12,78,70
13,110,102
14,110,94
15,78,70
18,110,94
19,110,86
20,62,54
21,110,86
23,70,54
25,70,46
26,94,70
27,110,102
practice,,
1,,
1,110,102
3,110,102
5,110,102
7,110,102
8,110,78
11,110,102
12,94,62
13,110,102
15,110,78
16,102,94
17,110,102
19,102,94
20,110,102
pre_exposure,,
1,,
1,62,54
2,86,70
3,110,102
5,94,70
6,110,102
12,110,102
14,78,70
15,110,86
17,78,54
19,54,46
21,110,94
22,70,54
26,46,38
27,110,102
2,,
1,110,86
2,110,94
3,110,102
4,78,70
8,94,70
11,110,94
12,110,86
13,78,70
14,110,102
15,110,86
16,46,38
18,86,70
19,110,94
21,78,70
22,110,94
24,110,94
25,86,70
