prolific_id,qc_fail_button_sequence,qc_fail_rt,qc_fail_manual,qc_fail_overall,experiment,counterbalancing
sub_58,FALSE,TRUE,FALSE,TRUE,1,dense_right
sub_59,FALSE,FALSE,FALSE,FALSE,1,dense_right
sub_60,FALSE,FALSE,FALSE,FALSE,1,dense_left
sub_61,TRUE,TRUE,FALSE,TRUE,1,dense_right
sub_62,FALSE,TRUE,FALSE,TRUE,1,dense_left
sub_63,FALSE,TRUE,FALSE,TRUE,1,dense_left
sub_64,FALSE,FALSE,TRUE,TRUE,1,dense_right
sub_65,FALSE,TRUE,FALSE,TRUE,1,dense_right
sub_66,TRUE,FALSE,FALSE,TRUE,1,dense_right
sub_67,TRUE,FALSE,FALSE,TRUE,1,dense_right
sub_68,FALSE,TRUE,FALSE,TRUE,1,dense_left
sub_69,FALSE,TRUE,FALSE,TRUE,1,dense_left
sub_70,FALSE,TRUE,FALSE,TRUE,1,dense_left
sub_71,FALSE,FALSE,FALSE,FALSE,1,dense_left
sub_72,FALSE,FALSE,FALSE,FALSE,1,dense_left
sub_73,FALSE,FALSE,TRUE,TRUE,1,dense_left
sub_74,FALSE,FALSE,FALSE,FALSE,1,dense_left
sub_75,FALSE,FALSE,FALSE,FALSE,1,dense_right
sub_76,FALSE,FALSE,FALSE,FALSE,1,dense_right
sub_77,TRUE,FALSE,FALSE,TRUE,1,dense_left
sub_78,FALSE,FALSE,FALSE,FALSE,1,dense_right
sub_79,FALSE,FALSE,FALSE,FALSE,1,dense_left
sub_80,TRUE,FALSE,FALSE,TRUE,1,dense_left
sub_81,FALSE,FALSE,FALSE,FALSE,1,dense_left
sub_82,FALSE,FALSE,FALSE,FALSE,1,dense_right
sub_83,FALSE,TRUE,FALSE,TRUE,1,dense_right
sub_84,FALSE,FALSE,FALSE,FALSE,1,dense_left
sub_85,FALSE,FALSE,FALSE,FALSE,1,dense_right
sub_86,FALSE,FALSE,FALSE,FALSE,1,dense_left
sub_87,TRUE,FALSE,FALSE,TRUE,1,dense_right
